Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, μmho","Future, NA",Month,,
11/04/1981 13:00,2591.54,1,331,12.3,0.431,0.191,2.82,0.82,95.3,-9,-9,-9,,11,,
11/05/1981 13:00,2592.54,1,353,8.9,0.373,0.136,2.77,1.06,99,-9,-9,-9,,11,,
11/06/1981 13:00,2593.54,1,821,181,0.8,0.047,1.65,1.78,75.6,-9,-9,-9,,11,,
11/07/1981 13:00,2594.54,1,733,36.9,0.34,0.093,1.57,0.91,91.5,-9,-9,-9,,11,,
11/08/1981 13:00,2595.54,1,603,31.3,0.285,0.027,1.57,1.1,89.2,-9,-9,-9,,11,,
11/09/1981 13:00,2596.54,1,530,15.8,0.265,0.083,1.74,1.15,80,-9,-9,-9,,11,,
11/10/1981 13:00,2597.54,0.63,472,10.2,0.301,0.086,2.09,1.32,81.6,-9,-9,-9,,11,,
11/10/1981 19:00,2597.79,1,464,11.3,0.331,0.084,1.95,1.67,84,-9,-9,-9,,11,,
11/18/1981 19:00,2605.79,1,328,8.7,0.319,0.128,2.78,1.59,94.5,-9,-9,-9,,11,,
11/21/1981 13:00,2608.54,1.5,1690,79.8,0.326,0.021,1.42,1.39,96.1,-9,-9,-9,,11,,
11/21/1981 19:00,2608.79,0.63,1680,75.4,0.3,0.011,1.23,1.32,102,-9,-9,-9,,11,,
11/22/1981 19:00,2609.79,0.75,1210,37.1,0.266,0.005,1.16,1.55,119.6,-9,-9,-9,,11,,
11/23/1981 07:00,2610.29,0.38,1090,21.6,0.228,0.005,1.19,1.4,122.5,-9,-9,-9,,11,,
11/23/1981 13:00,2610.54,0.5,1010,37.5,0.267,0.087,2.33,1,92.1,-9,-9,-9,,11,,
11/24/1981 07:00,2611.29,0.88,954,32.8,0.202,0.084,2.32,0.98,95.8,-9,-9,-9,,11,,
11/25/1981 07:00,2612.29,1,944,21.1,0.215,0.106,2.1,1.18,125,-9,-9,-9,,11,,
11/26/1981 07:00,2613.29,1,877,22.6,0.187,0.09,1.97,1.09,85.4,-9,-9,-9,,11,,
11/27/1981 07:00,2614.29,1,1400,45.5,0.173,0.061,1.51,0.93,97.9,-9,-9,-9,,11,,
11/28/1981 07:00,2615.29,1,930,19.9,0.174,0.079,1.72,1.08,82.3,-9,-9,-9,,11,,
11/29/1981 07:00,2616.29,0.88,797,17.6,0.188,0.089,1.97,1.07,86.2,-9,-9,-9,,11,,
11/30/1981 01:00,2617.04,1.63,701,17.6,0.209,0.102,1.98,1.16,72.2,-9,-9,-9,,11,,
12/02/1981 13:00,2619.54,1.75,1240,69.8,0.323,0.1,1.79,1.02,65.7,-9,-9,-9,,12,,
12/03/1981 13:00,2620.54,1,925,23.5,0.234,0.104,1.63,1.47,69,-9,-9,-9,,12,,
12/04/1981 13:00,2621.54,1,858,20.1,0.263,0.107,1.81,1.47,68.7,-9,-9,-9,,12,,
12/05/1981 13:00,2622.54,1,1170,43.4,0.456,0.099,1.68,1.78,69.4,-9,-9,-9,,12,,
12/06/1981 13:00,2623.54,0.88,935,31.3,0.311,0.096,1.59,1.35,68.8,-9,-9,-9,,12,,
12/07/1981 07:00,2624.29,0.5,830,22.7,0.248,0.098,1.61,1.21,65,-9,-9,-9,,12,,
12/07/1981 13:00,2624.54,0.63,788,16.7,0.225,0.103,2.23,0.73,68.8,-9,-9,-9,,12,,
12/08/1981 13:00,2625.54,1,1630,98.3,0.532,0.141,2.21,1.34,67.4,-9,-9,-9,,12,,
12/09/1981 13:00,2626.54,1,1230,44.3,0.402,0.108,1.87,1.24,104.6,-9,-9,-9,,12,,
12/10/1981 13:00,2627.54,1,1050,37.8,0.424,0.114,2.25,1.39,152.2,-9,-9,-9,,12,,
12/11/1981 13:00,2628.54,1,944,20.4,0.297,0.107,2.13,1.18,177.4,-9,-9,-9,,12,,
12/12/1981 13:00,2629.54,1,906,24.5,0.239,0.088,1.87,1.23,152.4,-9,-9,-9,,12,,
12/13/1981 13:00,2630.54,0.88,906,36.3,0.439,0.098,2.11,1.51,146.2,-9,-9,-9,,12,,
12/14/1981 07:00,2631.29,1,882,24.9,0.245,0.086,1.91,1.15,130.5,-9,-9,-9,,12,,
12/15/1981 13:00,2632.54,1.13,830,23.9,0.236,0.098,2.33,0.94,117.9,-9,-9,-9,,12,,
12/16/1981 13:00,2633.54,1,779,18.8,0.292,0.109,2.18,1.04,107.1,-9,-9,-9,,12,,
12/17/1981 13:00,2634.54,1,733,21.8,0.294,0.126,1.99,0.91,115,-9,-9,-9,,12,,
12/18/1981 13:00,2635.54,1,670,16.5,0.283,0.1,2.17,1.12,151.3,-9,-9,-9,,12,,
12/19/1981 13:00,2636.54,1,608,16.9,0.275,0.124,2.37,1.13,185.8,-9,-9,-9,,12,,
12/20/1981 13:00,2637.54,0.88,573,17.1,0.285,0.136,2.53,1.34,191.9,-9,-9,-9,,12,,
12/21/1981 07:00,2638.29,0.5,586,20.3,0.302,0.123,2.21,1.56,174.9,-9,-9,-9,,12,,
12/21/1981 13:00,2638.54,0.38,526,30.4,0.338,0.128,3.38,0.81,168.9,-9,-9,-9,,12,,
12/22/1981 01:00,2639.04,0.5,603,962,1.55,0.171,1.7,3.18,403,-9,-9,-9,,12,,
12/22/1981 13:00,2639.54,0.5,612,12200,6.8,0.028,1.1,17.86,214,-9,-9,-9,,12,,
12/23/1981 01:00,2640.04,0.5,1300,2720,2.57,0.033,1.4,2.67,161,-9,-9,-9,,12,,
12/23/1981 13:00,2640.54,0.5,6930,656,1.08,0.001,1.9,1.5,123,-9,-9,-9,,12,,
12/24/1981 01:00,2641.04,0.5,4880,226,0.501,0.005,1.41,0.93,96.8,-9,-9,-9,,12,,
12/24/1981 13:00,2641.54,0.5,3230,154,0.318,0.023,1.5,0.75,98,-9,-9,-9,,12,,
12/25/1981 01:00,2642.04,0.5,2980,121,0.259,0.025,1.6,0.83,97.9,-9,-9,-9,,12,,
12/25/1981 13:00,2642.54,0.5,2330,99.8,0.235,0.018,-9,0.78,87.9,-9,-9,-9,,12,,
12/26/1981 01:00,2643.04,0.5,2070,106,0.241,0.041,1.87,0.69,85.6,-9,-9,-9,,12,,
12/26/1981 13:00,2643.54,0.75,1740,82.4,0.217,0.038,1.91,0.76,84.4,-9,-9,-9,,12,,
12/27/1981 13:00,2644.54,1,1630,127,0.213,0.018,1.91,0.8,102.7,-9,-9,-9,,12,,
12/28/1981 13:00,2645.54,1,1500,109,0.274,0.036,1.95,1.04,113.3,-9,-9,-9,,12,,
12/29/1981 13:00,2646.54,1,1330,85.9,0.338,0.043,2.07,1.23,116.8,-9,-9,-9,,12,,
12/30/1981 13:00,2647.54,1,1070,59.7,0.347,0.052,2.22,1.25,108.2,-9,-9,-9,,12,,
12/31/1981 13:00,2648.54,1,944,123,0.592,0.079,1.77,1.47,142.2,-9,-9,-9,,12,,
01/01/1982 13:00,2649.54,0.75,1760,281,0.448,0.044,1.63,1.29,110.8,-9,-9,-9,,1,,
01/02/1982 01:00,2650.04,0.5,1440,319,0.532,0.056,1.63,1.2,100.6,-9,-9,-9,,1,,
01/02/1982 13:00,2650.54,0.5,1130,127,0.393,0.062,1.81,1.51,101.4,-9,-9,-9,,1,,
01/03/1982 01:00,2651.04,0.5,1100,209,0.516,0.063,1.56,1.6,116.5,-9,-9,-9,,1,,
01/03/1982 13:00,2651.54,0.5,973,762,0.826,0.037,1.03,2.43,77.7,-9,-9,-9,,1,,
01/04/1982 01:00,2652.04,1,1450,4120,3.6,-9,1.8,4.17,83,-9,-9,-9,,1,,
01/05/1982 13:00,2653.54,0.88,2810,757,1.12,0.069,1.52,1.2,76.3,-9,-9,-9,,1,,
01/05/1982 19:00,2653.79,0.25,2690,322,0.784,0.065,1.45,1.1,73.1,-9,-9,-9,,1,,
01/06/1982 01:00,2654.04,0.25,2550,145,0.542,0.069,1.44,0.91,76.9,-9,-9,-9,,1,,
01/06/1982 07:00,2654.29,0.25,2350,118,0.435,0.07,1.55,0.75,71.7,-9,-9,-9,,1,,
01/06/1982 13:00,2654.54,0.63,2130,105,0.397,0.078,1.57,0.72,71.9,-9,-9,-9,,1,,
01/07/1982 13:00,2655.54,1,1920,74.6,0.479,0.086,1.87,0.74,90.9,-9,-9,-9,,1,,
01/08/1982 13:00,2656.54,1,1640,73.7,0.379,0.109,1.87,0.77,73.8,-9,-9,-9,,1,,
01/09/1982 13:00,2657.54,1,1400,67.8,0.652,0.106,1.97,0.81,70.6,-9,-9,-9,,1,,
01/10/1982 13:00,2658.54,1,1020,46.9,0.2,0.089,2.19,0.59,81.4,-9,-9,-9,,1,,
01/11/1982 13:00,2659.54,0.88,688,199,0.255,0.118,2.42,0.71,81.7,-9,-9,-9,,1,,
01/12/1982 07:00,2660.29,1,849,30.9,0.198,0.101,2.6,1.06,82.3,-9,-9,-9,,1,,
02/02/1982 13:00,2681.54,0.5,3450,891,0.993,0.038,1.23,1.67,88,-9,-9,-9,,2,,
02/02/1982 19:00,2681.79,0.25,3390,954,1.01,0.046,1.19,1.81,81.4,-9,-9,-9,,2,,
02/03/1982 01:00,2682.04,0.25,3170,573,0.952,0.045,1.23,1.72,82.4,-9,-9,-9,,2,,
02/03/1982 07:00,2682.29,0.25,2970,259,0.572,0.043,1.09,1.31,89.8,-9,-9,-9,,2,,
02/03/1982 13:00,2682.54,0.25,2880,199,0.347,0.05,1.1,1.27,105.2,-9,-9,-9,,2,,
02/03/1982 19:00,2682.79,0.25,3380,216,0.389,0.052,1.1,1.33,129.9,-9,-9,-9,,2,,
02/04/1982 01:00,2683.04,0.25,3710,230,0.382,0.051,1.09,1.56,137.8,-9,-9,-9,,2,,
02/04/1982 07:00,2683.29,0.25,3590,224,0.379,0.04,1.09,1.46,128.7,-9,-9,-9,,2,,
02/04/1982 13:00,2683.54,0.25,3250,226,0.306,0.039,1.02,1.23,110.2,-9,-9,-9,,2,,
02/04/1982 19:00,2683.79,0.25,3090,489,0.473,0.046,1.08,1.43,104.5,-9,-9,-9,,2,,
02/05/1982 01:00,2684.04,0.25,2850,606,0.643,0.044,1.16,1.7,104.7,-9,-9,-9,,2,,
02/05/1982 07:00,2684.29,0.25,2590,796,0.781,0.048,1.16,2.02,106.5,-9,-9,-9,,2,,
02/05/1982 13:00,2684.54,0.25,2480,548,0.605,0.045,1.13,1.52,102.3,-9,-9,-9,,2,,
02/05/1982 19:00,2684.79,0.25,2440,671,1.13,0.046,1.17,1.81,99,-9,-9,-9,,2,,
02/06/1982 01:00,2685.04,0.25,2310,841,1.2,0.049,1.27,1.92,92.9,-9,-9,-9,,2,,
02/06/1982 07:00,2685.29,0.25,2130,648,0.962,0.044,1.13,2.01,83.1,-9,-9,-9,,2,,
02/06/1982 13:00,2685.54,0.25,2000,1290,1.14,0.043,1.13,2.06,85.5,-9,-9,-9,,2,,
02/06/1982 19:00,2685.79,0.25,1950,1480,1.25,0.043,1.14,1.93,84.7,-9,-9,-9,,2,,
02/07/1982 01:00,2686.04,0.25,1800,1250,1.23,0.04,1.15,1.98,79.8,-9,-9,-9,,2,,
02/07/1982 07:00,2686.29,0.25,1650,1270,1.24,0.045,1.15,2.07,75.7,-9,-9,-9,,2,,
02/07/1982 13:00,2686.54,0.25,1520,1470,1.62,0.041,1.18,2.26,75.4,-9,-9,-9,,2,,
02/07/1982 19:00,2686.79,0.25,1450,1120,1.63,0.045,1.18,2.52,76.2,-9,-9,-9,,2,,
02/08/1982 01:00,2687.04,0.25,1630,1700,2.23,0.044,1.25,3.35,76.9,-9,-9,-9,,2,,
02/08/1982 07:00,2687.29,0.25,1490,1210,2.5,0.045,1.3,2.91,78.3,-9,-9,-9,,2,,
02/08/1982 13:00,2687.54,0.25,1340,1140,1.98,0.051,1.28,2.64,81.9,-9,-9,-9,,2,,
02/08/1982 19:00,2687.79,0.25,1310,907,1.07,0.052,1.14,2.49,78.8,-9,-9,-9,,2,,
02/09/1982 01:00,2688.04,0.25,1270,571,1.06,0.052,1.15,2.34,79.2,-9,-9,-9,,2,,
02/09/1982 07:00,2688.29,1,1210,300,0.613,0.051,1.17,1.87,80.6,-9,-9,-9,,2,,
02/16/1982 19:00,2695.79,0.5,2780,231,0.448,0.097,1.11,2.46,136.4,-9,-9,-9,,2,,
02/17/1982 01:00,2696.04,0.25,2980,257,0.398,0.076,1.08,2.35,125.2,-9,-9,-9,,2,,
02/17/1982 07:00,2696.29,0.25,2900,250,0.413,0.077,1.08,2.46,120.5,-9,-9,-9,,2,,
02/17/1982 13:00,2696.54,0.25,3440,269,0.411,0.08,1.04,2.48,114.7,-9,-9,-9,,2,,
02/17/1982 19:00,2696.79,0.25,3400,223,0.369,0.066,1.02,2.04,108.6,-9,-9,-9,,2,,
02/18/1982 01:00,2697.04,0.25,3310,236,0.377,0.055,1.01,2.52,105.1,-9,-9,-9,,2,,
02/18/1982 07:00,2697.29,0.25,2900,193,0.342,0.068,0.99,2.04,99.7,-9,-9,-9,,2,,
02/18/1982 13:00,2697.54,0.25,2520,152,0.355,0.082,1.02,2.13,101.6,-9,-9,-9,,2,,
02/18/1982 19:00,2697.79,0.25,2410,116,0.32,0.104,1.03,1.86,120.3,-9,-9,-9,,2,,
02/19/1982 01:00,2698.04,0.25,2570,130,0.301,0.074,1.07,1.92,136.3,-9,-9,-9,,2,,
02/19/1982 07:00,2698.29,0.25,2790,121,0.32,0.096,1.08,2.05,130.9,-9,-9,-9,,2,,
02/19/1982 13:00,2698.54,0.25,2920,142,0.296,0.076,1.04,1.84,120.2,-9,-9,-9,,2,,
02/19/1982 19:00,2698.79,0.25,2840,161,0.373,0.064,1.03,2.17,114.9,-9,-9,-9,,2,,
02/20/1982 01:00,2699.04,0.25,2620,-9,0.285,0.06,1.07,1.85,111.4,-9,-9,-9,,2,,
02/20/1982 07:00,2699.29,0.25,2450,98.4,0.261,0.064,1.05,1.89,108.7,-9,-9,-9,,2,,
02/20/1982 13:00,2699.54,0.25,2320,96.1,0.241,0.059,1.08,1.87,105.7,-9,-9,-9,,2,,
02/20/1982 19:00,2699.79,0.25,2600,115,0.286,0.067,1.08,1.86,112.5,-9,-9,-9,,2,,
02/21/1982 01:00,2700.04,0.25,3080,178,0.303,0.064,1.11,1.91,107.6,-9,-9,-9,,2,,
02/21/1982 07:00,2700.29,0.25,2970,179,0.306,0.06,1.01,2.19,100.7,-9,-9,-9,,2,,
02/21/1982 13:00,2700.54,0.25,2650,121,0.26,0.059,1.03,1.98,95.1,-9,-9,-9,,2,,
02/21/1982 19:00,2700.79,0.25,2540,100,0.236,0.061,1.05,1.97,94.7,-9,-9,-9,,2,,
02/22/1982 01:00,2701.04,0.25,2510,96.3,0.24,0.054,1.1,1.78,94.6,-9,-9,-9,,2,,
02/22/1982 07:00,2701.29,0.25,2310,87.4,0.226,0.063,1.11,1.83,93.2,-9,-9,-9,,2,,
02/22/1982 13:00,2701.54,0.25,2110,79.1,0.228,0.068,1.12,1.73,90.2,-9,-9,-9,,2,,
02/22/1982 19:00,2701.79,0.25,2110,71.7,0.231,0.069,1.03,1.69,83.5,-9,-9,-9,,2,,
02/23/1982 01:00,2702.04,0.25,2140,79.9,0.252,0.075,1.04,1.85,88.3,-9,-9,-9,,2,,
02/23/1982 07:00,2702.29,1.75,1990,68.3,0.234,0.065,1.07,1.89,86,-9,-9,-9,,2,,
02/26/1982 13:00,2705.54,2.13,1380,62.9,0.234,0.057,2.09,0.77,114.4,-9,-9,-9,,2,,
02/27/1982 13:00,2706.54,1,1160,51.1,0.245,0.074,2.32,0.72,110,-9,-9,-9,,2,,
02/28/1982 13:00,2707.54,1,1090,43.1,0.201,0.075,2.45,0.73,101.6,-9,-9,-9,,2,,
03/01/1982 13:00,2708.54,0.88,1010,40.1,0.226,0.083,2.22,0.77,94.8,-9,-9,-9,,3,,
03/02/1982 07:00,2709.29,2,1050,41.1,0.262,0.1,2.13,0.95,97.4,-9,-9,-9,,3,,
03/05/1982 13:00,2712.54,1.75,3040,345,0.458,0.055,1.19,1.79,154.7,-9,-9,-9,,3,,
03/05/1982 19:00,2712.79,0.25,2980,215,0.37,0.07,1.13,1.5,150,-9,-9,-9,,3,,
03/06/1982 01:00,2713.04,0.38,2990,216,0.356,0.065,1.13,1.73,141.8,-9,-9,-9,,3,,
03/06/1982 13:00,2713.54,0.5,2200,111,0.262,0.055,1.11,1.56,125.7,-9,-9,-9,,3,,
03/07/1982 01:00,2714.04,0.5,1940,84.9,0.239,0.068,1.11,1.4,109.3,-9,-9,-9,,3,,
03/07/1982 13:00,2714.54,0.75,1620,63.7,0.221,0.068,0.97,1.56,98.1,-9,-9,-9,,3,,
03/08/1982 13:00,2715.54,0.88,1360,48.1,0.218,0.07,1.03,1.68,96.6,-9,-9,-9,,3,,
03/09/1982 07:00,2716.29,0.5,1390,36.7,0.221,0.084,1.1,1.76,92.5,-9,-9,-9,,3,,
03/09/1982 13:00,2716.54,0.63,1340,38,0.225,0.081,1.31,1.59,97.5,-9,-9,-9,,3,,
03/10/1982 13:00,2717.54,0.75,1100,32.2,0.228,0.092,1.33,1.84,125.1,-9,-9,-9,,3,,
03/11/1982 01:00,2718.04,0.38,1700,80.6,0.318,0.12,1.27,1.76,145.7,-9,-9,-9,,3,,
03/11/1982 07:00,2718.29,0.25,1820,102,0.314,0.097,1.28,1.49,130.6,-9,-9,-9,,3,,
03/11/1982 13:00,2718.54,0.25,3140,955,0.983,0.14,1.29,2.73,120.9,-9,-9,-9,,3,,
03/11/1982 19:00,2718.79,0.25,5530,967,0.826,0.052,1.06,2.59,99.6,-9,-9,-9,,3,,
03/12/1982 01:00,2719.04,0.25,5120,792,0.696,0.042,1.02,2.37,102.2,-9,-9,-9,,3,,
03/12/1982 07:00,2719.29,0.25,3770,371,0.426,0.046,1.03,1.83,99.6,-9,-9,-9,,3,,
03/12/1982 13:00,2719.54,0.25,3060,236,0.349,0.054,1.05,1.67,97.7,-9,-9,-9,,3,,
03/12/1982 19:00,2719.79,0.25,3340,227,0.314,0.051,1.06,1.4,94.6,-9,-9,-9,,3,,
03/13/1982 01:00,2720.04,0.25,3680,242,0.321,0.045,1.03,1.55,87.7,-9,-9,-9,,3,,
03/13/1982 07:00,2720.29,0.25,3800,311,0.347,0.054,0.98,1.58,82.2,-9,-9,-9,,3,,
03/13/1982 13:00,2720.54,0.25,5260,647,0.504,0.03,0.88,1.96,75.9,-9,-9,-9,,3,,
03/13/1982 19:00,2720.79,0.25,5430,743,0.609,0.032,0.9,2.19,81,-9,-9,-9,,3,,
03/14/1982 01:00,2721.04,0.25,4420,347,0.414,0.046,0.92,1.64,81.6,-9,-9,-9,,3,,
03/14/1982 07:00,2721.29,0.25,3620,233,0.329,0.043,0.94,1.4,82.5,-9,-9,-9,,3,,
03/14/1982 13:00,2721.54,0.25,3380,179,0.286,0.042,0.93,1.37,76.9,-9,-9,-9,,3,,
03/14/1982 19:00,2721.79,0.25,3310,154,0.263,0.041,0.96,0.97,73.9,-9,-9,-9,,3,,
03/15/1982 01:00,2722.04,0.25,3240,144,0.268,0.049,1.03,1.15,71.9,-9,-9,-9,,3,,
03/15/1982 07:00,2722.29,0.25,3110,153,0.253,0.045,1.02,1.28,65.8,-9,-9,-9,,3,,
03/15/1982 13:00,2722.54,0.25,2970,240,0.313,0.036,1.22,1.42,62.3,-9,-9,-9,,3,,
03/15/1982 19:00,2722.79,0.25,2940,155,0.268,0.035,1.26,1.26,61.7,-9,-9,-9,,3,,
03/16/1982 01:00,2723.04,0.25,2930,139,0.276,0.03,1.27,1.37,61.2,-9,-9,-9,,3,,
03/16/1982 07:00,2723.29,0.25,2920,145,0.282,0.033,1.23,1.35,59.9,-9,-9,-9,,3,,
03/16/1982 13:00,2723.54,0.25,3690,387,0.474,0.065,1.22,1.65,67.2,-9,-9,-9,,3,,
03/16/1982 19:00,2723.79,0.25,5190,738,0.66,0.037,1.04,2.21,68.6,-9,-9,-9,,3,,
03/17/1982 01:00,2724.04,0.25,5760,625,0.682,0.026,1.02,2.18,68.3,-9,-9,-9,,3,,
03/17/1982 07:00,2724.29,0.25,5710,341,0.463,0.002,0.97,1.67,64.5,-9,-9,-9,,3,,
03/17/1982 13:00,2724.54,0.25,5070,300,0.386,0.018,1.02,1.43,62.6,-9,-9,-9,,3,,
03/17/1982 19:00,2724.79,0.25,4590,259,0.355,0.02,1.02,1.37,60.8,-9,-9,-9,,3,,
03/18/1982 01:00,2725.04,0.25,4360,233,0.344,0.028,1.01,1.46,58.7,-9,-9,-9,,3,,
03/18/1982 07:00,2725.29,0.25,4080,210,0.325,0.031,1.01,1.36,57,-9,-9,-9,,3,,
03/18/1982 13:00,2725.54,0.38,3700,204,0.303,0.026,0.97,1.36,56,-9,-9,-9,,3,,
03/19/1982 01:00,2726.04,0.5,3240,235,0.272,0.02,1.03,1.35,58.4,-9,-9,-9,,3,,
03/19/1982 13:00,2726.54,0.5,2910,193,0.246,0.025,1,1.31,55.9,-9,-9,-9,,3,,
03/20/1982 01:00,2727.04,0.5,2760,145,0.233,0.028,1.04,1.29,56.4,-9,-9,-9,,3,,
03/20/1982 13:00,2727.54,0.75,2730,143,0.237,0.034,0.94,1.4,62.9,-9,-9,-9,,3,,
03/21/1982 13:00,2728.54,0.88,2270,124,0.211,0.035,1.04,1.39,61.8,-9,-9,-9,,3,,
03/22/1982 07:00,2729.29,0.5,1950,100,0.22,0.057,1.11,1.46,62.7,-9,-9,-9,,3,,
03/22/1982 13:00,2729.54,0.63,1810,100,0.222,0.056,1.34,1.18,58.5,-9,-9,-9,,3,,
03/23/1982 13:00,2730.54,1,1480,76.5,0.235,0.068,1.3,1.48,63.4,-9,-9,-9,,3,,
03/24/1982 13:00,2731.54,1,1270,66.6,0.247,0.07,1.15,2.04,70.2,-9,-9,-9,,3,,
03/25/1982 13:00,2732.54,1,1100,60.6,0.274,0.036,1.18,2.29,70.5,-9,-9,-9,,3,,
03/26/1982 13:00,2733.54,1,1120,110,0.284,0.046,1.08,2.59,106,-9,-9,-9,,3,,
03/27/1982 13:00,2734.54,1,1030,47.1,0.25,0.04,1.1,2.41,134.3,-9,-9,-9,,3,,
03/28/1982 13:00,2735.54,0.88,896,47.6,0.262,0.041,1.22,2.65,144.1,-9,-9,-9,,3,,
03/29/1982 07:00,2736.29,0.55,1030,47.8,0.252,0.056,1.21,2.13,128.4,-9,-9,-9,,3,,
03/29/1982 15:30,2736.65,0.68,963,40,0.233,0.095,1.57,2.25,124.4,-9,-9,-9,,3,,
03/30/1982 15:30,2737.65,0.63,1070,102,0.302,0.105,1.7,1.72,103.6,-9,-9,-9,,3,,
03/30/1982 21:30,2737.9,0.25,1080,64.5,0.288,0.121,1.4,1.75,99.8,-9,-9,-9,,3,,
03/31/1982 03:30,2738.15,0.25,1710,1240,1.14,0.086,1.57,-9,104.6,-9,-9,-9,,3,,
03/31/1982 09:30,2738.4,0.25,4480,1100,0.935,0.047,1.35,2.94,85.4,-9,-9,-9,,3,,
03/31/1982 15:30,2738.65,0.25,4140,764,0.78,0.058,1.09,2.82,77.1,-9,-9,-9,,3,,
03/31/1982 21:30,2738.9,0.25,3040,311,0.457,0.065,1.17,1.81,75.9,-9,-9,-9,,3,,
04/01/1982 03:30,2739.15,0.38,2620,237,0.397,0.075,1.22,1.75,82.9,-9,-9,-9,,4,,
04/01/1982 15:30,2739.65,0.5,2200,123,0.281,0.068,1.13,1.39,72.7,-9,-9,-9,,4,,
04/02/1982 03:30,2740.15,0.5,1840,84.4,0.243,0.081,1.19,1.59,74,-9,-9,-9,,4,,
04/02/1982 15:30,2740.65,0.75,1560,66,0.229,0.082,1.06,1.78,70.9,-9,-9,-9,,4,,
04/03/1982 15:30,2741.65,1,2250,104,0.262,0.084,1.06,1.74,79,-9,-9,-9,,4,,
04/04/1982 15:30,2742.65,0.75,1920,61.4,0.196,0.059,0.94,1.38,83.7,-9,-9,-9,,4,,
04/05/1982 03:30,2743.15,0.45,1700,48.7,0.196,0.066,1.01,1.45,93.9,-9,-9,-9,,4,,
04/05/1982 13:00,2743.54,0.7,1530,60.4,0.195,0.058,1.86,0.73,84.4,-9,-9,-9,,4,,
04/06/1982 13:00,2744.54,1,1440,53.9,0.215,0.065,1.86,0.77,85.1,-9,-9,-9,,4,,
04/07/1982 13:00,2745.54,1,1370,44.5,0.247,0.059,1.82,0.86,115.6,-9,-9,-9,,4,,
04/08/1982 13:00,2746.54,1,1310,47.2,0.279,0.002,1.53,0.92,134.6,-9,-9,-9,,4,,
04/09/1982 13:00,2747.54,1,1640,51.9,0.234,0.06,1.54,0.83,122.9,-9,-9,-9,,4,,
04/10/1982 13:00,2748.54,1,1710,53.8,0.191,0.06,1.13,1,111.5,-9,-9,-9,,4,,
04/11/1982 13:00,2749.54,0.88,1700,45.1,0.186,0.031,0.98,1.15,87.1,-9,-9,-9,,4,,
04/12/1982 07:00,2750.29,0.5,1520,35.9,0.175,0.035,0.96,1.06,87.2,-9,-9,-9,,4,,
04/12/1982 13:00,2750.54,0.63,1410,37,0.184,0.08,1.56,0.72,84.4,-9,-9,-9,,4,,
04/13/1982 13:00,2751.54,1,1450,34.4,0.207,0.09,1.58,0.58,83.9,-9,-9,-9,,4,,
04/14/1982 13:00,2752.54,1,1170,37.6,0.212,0.083,1.69,0.73,84.9,-9,-9,-9,,4,,
04/15/1982 13:00,2753.54,1,1050,24.9,0.223,0.084,1.41,1.03,83.3,-9,-9,-9,,4,,
04/16/1982 13:00,2754.54,1,983,23.2,0.21,0.075,1.34,1.51,82.5,-9,-9,-9,,4,,
04/17/1982 13:00,2755.54,1,963,30.4,0.409,0.167,1.06,3.16,84.2,-9,-9,-9,,4,,
04/18/1982 13:00,2756.54,0.88,987,35.2,0.303,0.09,1.04,2.55,83.5,-9,-9,-9,,4,,
04/19/1982 07:00,2757.29,0.5,906,20.4,0.217,0.092,1.21,2.16,83.2,-9,-9,-9,,4,,
04/19/1982 13:00,2757.54,0.63,868,16.2,0.216,0.115,2.56,0.92,84.9,-9,-9,-9,,4,,
04/20/1982 13:00,2758.54,1,944,14.5,0.23,0.127,2.47,1.06,87,-9,-9,-9,,4,,
04/21/1982 13:00,2759.54,1,756,19.8,0.234,0.116,1.62,1.61,90.5,-9,-9,-9,,4,,
04/22/1982 13:00,2760.54,1,701,13.7,0.225,0.099,1.63,1.52,88.8,-9,-9,-9,,4,,
04/23/1982 13:00,2761.54,1,630,19.7,0.296,0.11,1.88,1.48,92.4,-9,-9,-9,,4,,
04/24/1982 13:00,2762.54,1,539,22.9,0.301,0.115,1.88,1.51,90.5,-9,-9,-9,,4,,
04/25/1982 13:00,2763.54,0.88,493,10.2,0.255,0.123,2.05,1.69,104.4,-9,-9,-9,,4,,
04/26/1982 07:00,2764.29,0.52,509,10.8,0.285,0.145,1.79,1.78,94,-9,-9,-9,,4,,
04/26/1982 14:00,2764.58,0.65,509,15.9,0.242,0.13,2.86,1.08,95.9,-9,-9,-9,,4,,
04/27/1982 14:00,2765.58,1,643,20.5,0.286,0.155,3.19,1.25,107.6,-9,-9,-9,,4,,
04/28/1982 14:00,2766.58,1,595,17.2,0.274,0.151,2.18,1.31,110.7,-9,-9,-9,,4,,
04/29/1982 14:00,2767.58,1,526,20.7,0.404,0.168,2.72,1.21,104.2,-9,-9,-9,,4,,
04/30/1982 14:00,2768.58,1,530,22.9,0.395,0.146,2.69,1.2,90.9,-9,-9,-9,,4,,
05/01/1982 14:00,2769.58,1,376,13.4,0.27,0.11,2.41,1.01,100.6,-9,-9,-9,,5,,
