,Flow,TP,TKN,chla
2018-05-01,5025266.170557236,0.112,1.335,0.012
2018-05-02,4854005.882368821,0.11,1.386,0.01176402591989785
2018-05-03,18691837.167992834,0.682,2.438,0.011591154374543286
2018-05-04,41493921.25250766,0.5703333333333334,2.1069999999999998,0.011481385363936326
2018-05-05,36759797.57187072,0.384,1.776,0.011434718888076956
2018-05-06,27034659.778314244,0.382,1.473,0.011451154946965185
2018-05-07,21872385.377206273,0.252,1.2266666666666668,0.011530693540601005
2018-05-08,20000755.084861442,0.347,2.026,0.011673334668984424
2018-05-09,16485026.025907816,0.296,1.507,0.011879078332115435
2018-05-10,14410329.963282434,0.263,1.299,0.012147924529994043
2018-05-11,11601661.23699241,0.238,1.41,0.012479873262620246
2018-05-12,8751400.72642806,0.209,1.228,0.012874924529994043
2018-05-13,9059669.245167209,0.248,1.292,0.013333078332115436
2018-05-14,12494661.311117724,0.26275000000000004,1.355,0.013854334668984421
2018-05-15,24089798.346655343,0.379,1.860666666666667,0.014438693540601009
2018-05-16,23677958.129821293,0.2973333333333333,1.561,0.015086154946965184
2018-05-17,23294661.29435198,0.2643333333333333,1.348,0.015796718888076957
2018-05-18,20751853.777344927,0.2755,1.3239999999999998,0.016570385363936325
2018-05-19,19780563.285762053,0.217,1.121,0.01740715437454329
2018-05-20,24074303.368200194,0.248,1.218,0.018307025919897846
2018-05-21,21328430.08091259,0.24033333333333332,1.2389999999999999,0.01927
2018-05-22,18629857.25417226,0.212,1.2253333333333334,0.02029607661484975
2018-05-23,13930801.156354869,0.175,0.997,0.021385255764447095
2018-05-24,13930801.156354869,0.176,1.063,0.02253753744879203
2018-05-25,14769161.043296259,0.23900000000000002,1.2663333333333335,0.023752921667884567
2018-05-26,11342324.229164237,0.174,1.004,0.025031408421724695
2018-05-27,9301880.22417654,0.168,1.126,0.02637299771031242
2018-05-28,9067824.496985704,0.16633333333333333,1.1373333333333333,0.027777689533647735
2018-05-29,8903088.410252085,0.173,1.453,0.029245483891730654
2018-05-30,7706712.968478721,0.197,1.406,0.030776380784561165
2018-05-31,5920712.820228097,0.175,1.281,0.03237038021213927
2018-06-01,5025266.170557236,0.151,1.251,0.03402748217446497
2018-06-02,7662674.608658843,0.1645,1.2149999999999999,0.035614460464485465
2018-06-03,9705565.189192092,0.154,1.1005,0.03699808887514795
2018-06-04,7902439.012122625,0.15533333333333332,1.1836666666666666,0.03817836740645243
2018-06-05,5142701.796743578,0.161,1.021,0.0391552960583989
2018-06-06,3890055.117422593,0.196,1.226,0.03992887483098735
2018-06-07,4910277.119916442,0.178,1.121,0.040499103724217826
2018-06-08,4685192.169725953,0.194,1.052,0.04086598273809026
2018-06-09,5377573.049116263,0.167,1.074,0.04102951187260472
2018-06-10,9874378.90183496,0.1905,1.1325,0.04098969112776116
2018-06-11,29572981.906821124,0.29125,2.10575,0.040746520503559584
2018-06-12,46240277.810872324,0.3539999999999999,2.0500000000000003,0.040299999999999996
2018-06-13,42700898.521645054,0.3586666666666667,1.6936666666666664,0.03965012961708242
2018-06-14,31010345.039831042,0.27449999999999997,1.7894999999999999,0.03879690935480682
2018-06-15,19890659.185311746,0.229,1.493,0.03774033921317323
2018-06-16,15291097.159680003,0.226,1.569,0.036480419192181625
2018-06-17,7144000.593002497,0.21,1.625,0.03501714929183201
2018-06-18,5635279.0065807365,0.20099999999999998,1.3583333333333334,0.03335052951212438
2018-06-19,5377573.049116263,0.211,1.501,0.03156848651322357
2018-06-20,4352457.895531316,0.226,1.588,0.030198580256118428
2018-06-21,6165370.374782978,0.217,1.556,0.029328737400973765
2018-06-22,10512935.119223194,0.236,1.697,0.028958957947789597
2018-06-23,60503813.24142183,0.4423333333333333,2.017,0.029089241896565914
2018-06-24,75297440.04017359,0.532,1.9773333333333334,0.029719589247302714
2018-06-25,67672279.58987983,0.4286666666666667,1.8266666666666669,0.030850000000000002
2018-06-26,49567620.55281869,0.43,1.456,0.03248047415465778
2018-06-27,27646303.664701443,0.3,1.022,0.03461101171127604
2018-06-28,16279513.680081718,0.62,1.547,0.0372416126698548
2018-06-29,18907135.816001132,0.235,1.144,0.04023748824419454
2018-06-30,15388960.181501957,0.233,1.096,0.042789905717098405
2018-07-01,10028513.161204534,0.219,1.072,0.04476407630236689
2018-07-02,6551929.310979688,0.209,1.0253333333333332,0.04616
2018-07-03,5142701.796743578,0.209,1.561,0.04697767680999773
2018-07-04,5260137.422929921,0.2,1.476,0.04721710673236009
2018-07-05,3479030.4257703945,0.231,2.094,0.04687828976708708
2018-07-06,3479030.4257703945,0.191,1.854,0.045955704423777846
2018-07-07,2745057.7621057536,0.207,1.739,0.04441622176002733
2018-07-08,3941433.2038791175,0.174,1.562,0.04225432028543472
2018-07-09,3838677.030966067,0.15566666666666665,1.3110000000000002,0.03947
