,Flow,TP,TKN,chla
2018-05-01,324415.91733977094,0.05,0.625,0.012
2018-05-02,320012.0813577831,0.051,0.652,0.013755295574886008
2018-05-03,1395282.0336264812,0.319,1.7793333333333334,0.015395402141889275
2018-05-04,2570494.5969308475,0.3765,2.0055,0.016920319701009805
2018-05-05,1499506.1518668595,0.222,1.564,0.0183300482522476
2018-05-06,883213.7719431169,0.125,0.932,0.01962458779560266
2018-05-07,610665.2561689806,0.09633333333333334,0.7756666666666666,0.020803938331074974
2018-05-08,473657.0256182478,0.087,0.669,0.021868099858664558
2018-05-09,397813.18370623497,0.076,0.778,0.0228170723783714
2018-05-10,372368.79803252744,0.076,0.755,0.02365085589019551
2018-05-11,348147.7001315943,0.078,0.714,0.024369450394136877
2018-05-12,310959.7518392525,0.072,0.707,0.024972855890195513
2018-05-13,749141.4320470426,0.23099999999999998,1.3995,0.0254610723783714
2018-05-14,1818478.4386177843,0.31925000000000003,1.5467499999999998,0.025834099858664552
2018-05-15,3896742.4239137596,0.533,2.452666666666667,0.02609193833107498
2018-05-16,2718267.759881994,0.3065,1.73,0.026234587795602657
2018-05-17,1499506.1518668595,0.199,1.351,0.026262048252247604
2018-05-18,868534.3186698242,0.159,1.014,0.026174319701009807
2018-05-19,588890.7338135963,0.15,1.032,0.02597140214188928
2018-05-20,514514.83722891274,0.151,1.022,0.025653295574886013
2018-05-21,479284.14937301,0.146,0.9943333333333332,0.02522
2018-05-22,423991.54204360716,0.133,0.919,0.02467151541723126
2018-05-23,696295.4002631886,0.144,0.867,0.02400784182657978
2018-05-24,1015573.5089573071,0.236,1.266,0.02322897922804556
2018-05-25,550479.4977484802,0.244,1.261,0.02233492762162861
2018-05-26,408333.4585520948,0.227,1.264,0.021325687007328915
2018-05-27,343254.54904049676,0.209,1.0,0.02020125738514648
2018-05-28,415346.9751160014,0.18466666666666667,0.8203333333333335,0.018961638755081316
2018-05-29,324415.91733977094,0.174,0.74,0.017606831117133414
2018-05-30,271814.5431104717,0.163,0.771,0.01613683447130277
2018-05-31,255422.48695529476,0.17,0.857,0.014551648817589387
2018-06-01,613111.8317145294,0.28150000000000003,1.198,0.012851274155993266
2018-06-02,2090721.1324487273,0.4505,2.065,0.011161374301736105
2018-06-03,1373996.8263802063,0.315,2.122,0.00960761307003959
