,Flow,TP,TKN,chla
2018-05-01,1844717.9613437958,0.055,0.773,0.012
2018-05-02,1457669.710037975,0.049,0.699,0.01220325093869784
2018-05-03,2318008.000630211,0.14500000000000002,0.667,0.012387791252269593
2018-05-04,2833134.481745511,0.089,0.5045,0.012553620940715257
2018-05-05,2290239.368188232,0.064,0.705,0.01270074000403483
2018-05-06,1904414.4046551862,0.04933333333333333,0.6756666666666667,0.012829148442228315
2018-05-07,1874566.182999491,0.052,0.66,0.012938846255295714
2018-05-08,1979034.9587944245,0.055,0.765,0.013029833443237026
2018-05-09,1743674.3913126301,0.056,0.786,0.013102110006052246
2018-05-10,1618165.0658259764,0.058,0.905,0.013155675943741377
2018-05-11,1645566.7119361232,0.06,0.799,0.013190531256304422
2018-05-12,1510515.7418218292,0.055999999999999994,0.7575000000000001,0.013206675943741381
2018-05-13,8396647.272323482,0.6025,2.2335000000000003,0.013204110006052245
2018-05-14,5029343.796466484,0.18866666666666668,1.0003333333333333,0.013182833443237021
2018-05-15,4648493.53654272,0.137,0.931,0.013142846255295717
2018-05-16,3846016.7576027135,0.128,0.777,0.013084148442228315
2018-05-17,2803775.575198925,0.101,0.78,0.01300674000403483
2018-05-18,2302716.9034705306,0.087,0.725,0.012910620940715255
2018-05-19,2007904.5502319003,0.087,0.78,0.012795791252269591
2018-05-20,5348214.142569678,0.31033333333333335,0.5106666666666667,0.01266225093869784
2018-05-21,2966065.0863869954,0.126,0.668,0.01251
2018-05-22,9000951.432074036,0.591,1.5354999999999999,0.012339038436176073
2018-05-23,6635112.879528347,0.384,1.3895,0.012149366247226054
2018-05-24,3904734.570695885,0.14,0.597,0.011940983433149947
2018-05-25,2921211.201385268,0.111,0.645,0.011713889993947756
2018-05-26,2544438.567370753,0.105,0.66,0.011468085929619473
2018-05-27,2593370.0782817286,0.107,0.669,0.011203571240165102
2018-05-28,1934262.6263108817,0.09266666666666667,0.7603333333333334,0.010920345925584642
2018-05-29,1604464.2427709033,0.084,0.689,0.010618409985878097
2018-05-30,1291791.8880497664,0.091,0.642,0.01029776342104546
2018-05-31,1272096.9549080988,0.118,0.7055,0.009958406231086734
2018-06-01,1473246.2410113025,0.12133333333333333,0.7220000000000001,0.009600338416001922
2018-06-02,1107320.091915387,0.094,0.717,0.00926681046180964
2018-06-03,1997384.2753860403,0.208,1.0873333333333333,0.009001072854528506
2018-06-04,2286732.6099062786,0.219,1.2543333333333333,0.00880312559415852
2018-06-05,1278335.7225492483,0.091,0.809,0.008672968680699686
2018-06-06,1157230.2330445827,0.086,0.725,0.008610602114151999
2018-06-07,1170686.398545101,0.086,0.759,0.00861602589451546
2018-06-08,1094842.556633088,0.08,0.773,0.008689240021790069
2018-06-09,1237967.226047693,0.094,0.764,0.008830244495975827
2018-06-10,3395846.8572217342,0.22366666666666668,1.0746666666666667,0.009039039317072737
2018-06-11,4868685.335642112,0.4753333333333334,1.5456666666666667,0.009315624485080793
2018-06-12,2182223.057852253,0.16649999999999998,0.7755,0.00966
2018-06-13,1403355.7329267918,0.116,0.674,0.010072165861830353
